x,y,x_speed,y_speed,fuel
-290.0,400,-1.7912640970712972,1.4503637165805119,100
-270.0,400,-0.3730813260432779,1.7695562739830684,100
-250.0,400,0.19318093523987678,2.137959810182509,100
-230.0,400,-1.712178898991221,-1.7475119142999946,100
-210.0,400,-1.7328173139116887,-1.270838514437358,100
-190.0,400,1.4032677663461446,-1.5729102531938746,100
-170.0,400,-2.0149801915139105,0.11192255988788014,100
-150.0,400,1.111196036029653,0.20790403342904318,100
-130.0,400,0.1253154208292817,2.604921664125169,100
-110.0,400,-2.7245253339152513,0.13894069734814818,100
-90.0,400,1.18922203789552,-0.20101215682047613,100
-70.0,400,-1.4294290186823502,-0.07015192857205066,100
-50.0,400,-2.1240198244964166,-0.8175789440369181,100
-30.0,400,-1.9634366816642483,-0.7459642198072425,100
-10.0,400,1.0392709437353598,-0.5424356114844122,100
10.0,400,0.29461098470062597,2.3286754964527585,100
30.0,400,-0.8903447287735042,-1.1183361285265925,100
50.0,400,-1.4143269315210347,-0.4516561738890146,100
70.0,400,1.4667356916795482,0.09968874013487405,100
90.0,400,-2.5118135196284523,2.7294599482829973,100
110.0,400,-0.44436103923385173,1.089790912382237,100
130.0,400,0.48319180907683834,1.1862763788713862,100
150.0,400,0.39972350743459883,-1.8678005866484193,100
170.0,400,2.238574173831201,-0.988020824463915,100
190.0,400,2.103523010975408,-2.77481589578972,100
210.0,400,2.57084410831816,-0.6673017021395091,100
230.0,400,1.1779002065180169,-1.1922422058104065,100
250.0,400,-1.5171783960786516,-1.7983018729957456,100
270.0,400,-2.432645348649051,2.655486118821627,100
290.0,400,0.1933790208150934,0.15185001966843847,100
